Categoría,Nombre,Ingredientes,Preparación,Método,Tiempo,Dificultad,Tip
Almuerzo,Tarta de zucchini y queso azul,"Zucchini, masa integral, queso azul, huevo.",1. Saltear zucchini en rodajas. 2. Mezclar con huevo y queso. 3. Rellenar base. 4. Hornear hasta firme.,Horno,30 min,Media,Sabor intenso y gourmet. 
Almuerzo,Tarta de zanahoria caramelizada y cebolla,"Zanahoria, cebolla, masa integral, huevo.",1. Cocinar cebolla y zanahoria lento. 2. Mezclar con huevo. 3. Colocar en base. 4. Cocinar hasta dorar.,Horno,35 min,Fácil,Muy sabrosa y rendidora. 
Almuerzo,Tarta integral de brócoli y cheddar light,"Masa integral, brócoli, queso cheddar light, huevo.",1. Cocer brócoli. 2. Mezclar con huevo y queso. 3. Volcar en base. 4. Hornear hasta gratinar.,Horno,30 min,Fácil,Gran combinación clásica. 
Almuerzo,Tarta integral de berenjena mediterránea,"Masa integral, berenjena, tomate, aceitunas negras.",1. Grillar berenjena. 2. Mezclar con tomate y aceitunas. 3. Rellenar base. 4. Cocinar hasta dorar.,Horno,30 min,Fácil,Servir tibia queda mejor. 
Almuerzo,Tarta rápida de coliflor y queso,"Coliflor, huevo, queso rallado, cebolla.",1. Cocer coliflor. 2. Mezclar con huevo y queso. 3. Volcar en molde. 4. Cocinar hasta firme.,Horno,25 min,Muy Fácil,Sin masa y muy práctica.
Almuerzo,Tarta soufflé de espinaca y ricota,"Masa, espinaca, ricota, huevos.",1. Mezclar espinaca con ricota y yemas. 2. Batir claras a nieve. 3. Integrar suave. 4. Hornear hasta inflar.,Horno,30 min,Media,No abrir el horno antes de tiempo. 
Almuerzo,Tartitas caprese individuales,"Masa integral, tomate cherry, muzzarella light, albahaca.",1. Forrar moldes. 2. Rellenar con tomate y queso. 3. Cocinar hasta dorar. 4. Terminar con albahaca.,Horno,20 min,Fácil,Ideales para viandas. 
Almuerzo,Tortilla de papa y puerro al horno,"Papa, puerro, huevo.",1. Cocinar papa en cubos. 2. Saltear puerro. 3. Mezclar con huevo. 4. Hornear hasta cuajar.,Horno,25 min,Fácil,El puerro da sabor delicado. 
Almuerzo,Tortilla de calabaza y cebolla morada,"Calabaza, cebolla morada, huevos.",1. Asar calabaza. 2. Saltear cebolla. 3. Mezclar con huevos. 4. Cocinar hasta firme.,Horno,25 min,Fácil,Levemente dulce y deliciosa. 
Almuerzo,Tartitas de puerro y queso brie,"Harina integral, puerro, queso brie, huevo.",1. Forrar moldes individuales. 2. Saltear puerro. 3. Mezclar con huevo y queso. 4. Rellenar. 5. Cocinar hasta dorar.,Horno,20 min,Media,Muy delicadas y gourmet.
Almuerzo,Tortilla de espinaca y ricota,"Espinaca, ricota, huevos, cebolla.","1. Saltear cebolla. 2. Mezclar con espinaca escurrida, ricota y huevos. 3. Hornear hasta firme.",Horno,25 min,Fácil,Queda alta y cremosa.
Almuerzo,Tortilla española liviana,"Papa, cebolla morada, huevos, pimentón.",1. Cocinar papa en cubos. 2. Saltear cebolla. 3. Mezclar con huevos. 4. Hornear hasta dorar.,Horno,25 min,Fácil,El pimentón suma mucho sabor.
Almuerzo,Tortilla de verduras mediterránea,"Zucchini, berenjena, tomate seco, huevos.",1. Cocinar verduras. 2. Mezclar con huevos. 3. Volcar en molde. 4. Cocinar hasta cuajar.,Horno,25 min,Media,Muy aromática.
Almuerzo,Tortilla de brócoli y cheddar light,"Brócoli, huevos, cheddar light.",1. Cocer brócoli. 2. Mezclar con huevos y queso. 3. Hornear hasta dorar.,Horno,25 min,Fácil,Ideal para viandas.
Almuerzo,Tortilla de zucchini y parmesano,"Zucchini, huevos, parmesano rallado.",1. Rallar zucchini y escurrir. 2. Mezclar con huevos y queso. 3. Cocinar en molde hasta firme.,Horno,25 min,Fácil,Gran sabor con pocos ingredientes.
Almuerzo,Vegetales asados al balsámico,"Berenjena, zucchini, cebolla, aceto balsámico.",1. Cortar vegetales. 2. Condimentar con balsámico. 3. Hornear hasta dorar.,Horno,30 min,Fácil,Quedan caramelizados.
Almuerzo,Pollo grillado con vegetales provenzal,"Pollo, zucchini, zanahoria, ajo, perejil.",1. Cocinar pollo a la plancha. 2. Grillar vegetales. 3. Terminar con ajo y perejil.,Plancha,15 min,Fácil,Fresco y sabroso.
Almuerzo,Wok thai de verduras,"Verduras varias, salsa de soja, jengibre.",1. Cortar vegetales finos. 2. Saltear a fuego alto. 3. Sumar salsa y jengibre. 4. Servir crocantes.,Sartén,12 min,Muy Fácil,No sobrecocinar.
Almuerzo,Wok de verduras con salmón,"Salmón, morrón, zucchini, cebolla.",1. Dorar cubos de salmón. 2. Retirar. 3. Saltear verduras. 4. Reincorporar salmón y servir.,Sartén,15 min,Media,Agregar el salmón al final para que no se pase.
Almuerzo,Pollo grillado con vegetales al romero,"1 pechuga de pollo, berenjena, zucchini, morrón, romero.",1. Cortar vegetales. 2. Grillar verduras. 3. Cocinar pechuga condimentada. 4. Terminar con romero fresco.,Plancha,15 min,Fácil,El romero perfuma muchísimo.
Almuerzo,Wok oriental de verduras,"Verduras varias, salsa de soja, sésamo.",1. Cortar vegetales finos. 2. Saltear a fuego alto. 3. Agregar soja. 4. Terminar con sésamo.,Sartén,12 min,Muy Fácil,Servir enseguida.
Almuerzo,Vegetales crocantes al horno,"Berenjena, zanahoria, zucchini, cebolla.",1. Cortar bastones. 2. Condimentar. 3. Hornear separados. 4. Cocinar hasta dorar.,Horno,20 min,Muy Fácil,Mover a mitad de cocción.
Almuerzo,Wok de merluza al jengibre,"Merluza, zanahoria, zucchini, jengibre.",1. Saltear verduras. 2. Agregar merluza en cubos. 3. Sumar jengibre. 4. Cocinar breve.,Sartén,12 min,Fácil,No revolver de más el pescado.
Almuerzo,Wok de pollo teriyaki,"Pollo, verduras variadas, salsa teriyaki.",1. Dorar pollo en tiras. 2. Saltear verduras. 3. Unir todo. 4. Agregar salsa y servir.,Sartén,15 min,Fácil,Muy bueno con arroz.
Almuerzo,Zapallitos rellenos caprese,"Zapallitos, tomate, queso magro, albahaca.",1. Ahuecar zapallitos. 2. Rellenar con tomate y queso. 3. Gratinar. 4. Terminar con albahaca.,Horno,25 min,Media,Fresco y liviano.
Almuerzo,Zapallitos rellenos de quinoa,"Zapallitos, quinoa cocida, cebolla, queso rallado.",1. Ahuecar zapallitos. 2. Mezclar quinoa con cebolla. 3. Rellenar. 4. Gratinar.,Horno,25 min,Media,Gran opción vegetariana.
Almuerzo,Zapallitos rellenos mediterráneos,"Zapallitos, aceitunas, tomate seco, ricota.",1. Preparar relleno. 2. Rellenar mitades. 3. Cocinar hasta tiernos.,Horno,25 min,Media,Sabor gourmet.
Almuerzo,Zapallo cabutia relleno cremoso,"Zapallo cabutia, pollo desmenuzado, queso crema light.",1. Cocinar cabutia. 2. Mezclar pollo con queso crema. 3. Rellenar. 4. Gratinar.,Horno,30 min,Media,El cabutia queda dulzón.
Almuerzo,Zapallo relleno mexicano,"Zapallo, porotos negros, maíz, cebolla morada.",1. Cocinar zapallo. 2. Saltear relleno. 3. Colocar dentro. 4. Hornear unos minutos.,Horno,30 min,Media,Agregar limón al final.
Almuerzo,Zapallo relleno mediterráneo,"Zapallo, garbanzos, tomate seco, cebolla, orégano.",1. Cocinar el zapallo hasta tierno. 2. Saltear cebolla. 3. Agregar garbanzos y tomate seco picado. 4. Rellenar. 5. Gratinar unos minutos.,Horno,25-30 min,Media,Sabor intenso y gourmet.
Almuerzo,Albóndigas,"Carne picada, sal, pimienta, ajo (opcional).","1. Colocar la carne picada en un bowl amplio y condimentar a gusto. 2. Mezclar bien con las manos hasta integrar todos los sabores. 3. Formar bolitas pequeñas y parejas para lograr una cocción rápida y uniforme. 4. Distribuir en una fuente apenas aceitada, dejando espacio entre cada una. 5. Cocinar hasta que estén doradas por fuera y jugosas por dentro.",Horno,12-15 min,Fácil,No las hagas muy grandes; así se cocinan mejor y quedan más tiernas.
Cena,Albóndigas de garbanzos,"Garbanzos cocidos, cebolla, ajo, huevo, pan rallado.","1. Colocar los garbanzos, la cebolla y el ajo en una procesadora hasta obtener una mezcla uniforme. 2. Pasar a un bowl y sumar el huevo junto con el pan rallado. 3. Mezclar hasta formar una masa moldeable. 4. Armar bolitas parejas con las manos. 5. Llevar a una fuente aceitada y cocinar hasta dorar.",Horno,15-20 min,Fácil,"Si la mezcla queda húmeda, agregá un poco más de avena o pan rallado."
Cena,Albóndigas de lentejas,"Lentejas cocidas, zanahoria, cebolla, huevo, pan rallado.",1. Procesar las lentejas con la zanahoria y la cebolla hasta integrar. 2. Incorporar el huevo y el pan rallado para dar consistencia. 3. Mezclar bien y formar bolitas medianas. 4. Cocinar hasta que estén firmes y doradas.,Horno,15-20 min,Fácil,"Si la mezcla está blanda, sumá avena para trabajarla mejor."
Cena,Albóndigas de pollo,"Pollo, cebolla, ajo, huevo, pan rallado.",1. Procesar el pollo junto con la cebolla y el ajo hasta obtener una pasta homogénea. 2. Pasar la mezcla a un bowl e incorporar el huevo y el pan rallado. 3. Mezclar hasta lograr una textura firme y moldeable. 4. Formar albóndigas parejas y acomodarlas en una fuente aceitada. 5. Cocinar hasta que estén doradas y bien cocidas.,Horno,15-20 min,Media,"Si notás la mezcla húmeda, agregá un poco más de pan rallado."
Cena,Albóndigas vegetales,"Legumbres cocidas, verduras, huevo.",1. Procesar las legumbres cocidas con las verduras elegidas hasta integrar. 2. Agregar el huevo y mezclar bien para unir la preparación. 3. Formar bolitas con las manos húmedas. 4. Distribuir en una fuente apenas aceitada. 5. Cocinar hasta que estén firmes y doradas.,Horno,15-20 min,Media,Llevar la mezcla a la heladera unos minutos ayuda a armarlas mejor.
Cena,Albóndigas vegetales especiadas,"Legumbres, verduras, huevo, condimentos.",1. Procesar las legumbres junto con los vegetales y condimentos elegidos. 2. Incorporar el huevo hasta unir bien la mezcla. 3. Formar albóndigas pequeñas y parejas. 4. Llevar a horno hasta dorar suavemente por fuera.,Horno,15-20 min,Fácil,"Si queda húmedo, agregá avena o pan rallado."
Cena,Arroz con arvejas y verduras,"Arroz, arvejas, cebolla, morrón, zucchini, zanahoria, calabaza.",1. Cocinar el arroz en agua con sal hasta que quede tierno. 2. Cortar todas las verduras en cubos pequeños. 3. Saltear cebolla y morrón hasta perfumar la sartén. 4. Incorporar el resto de los vegetales y cocinar hasta que estén tiernos. 5. Sumar el arroz cocido y las arvejas. 6. Mezclar unos minutos más y servir caliente.,Sartén,25-30 min,Fácil,Cortar las verduras chicas acelera la cocción y mejora la textura final.
Cena,Arroz con pollo liviano,"Arroz integral, pollo, verduras.","1. Cocinar el arroz integral hasta que esté tierno. 2. Cortar el pollo en cubos y dorarlo en sartén caliente hasta sellar bien. 3. Saltear las verduras aparte hasta que estén tiernas. 4. Unir el arroz, el pollo y las verduras en una sartén grande. 5. Mezclar unos minutos para integrar sabores y servir caliente.",Sartén,25 min,Fácil,Dorar bien el pollo al comienzo aporta mucho sabor.
Cena,Arroz integral con verduras,"Arroz integral, verduras a elección.","1. Cocinar el arroz integral según indicación hasta que quede tierno. 2. Preparar las verduras al vapor, salteadas o frescas según preferencia. 3. Integrar todo en un bowl o sartén. 4. Mezclar suavemente y servir.",Hornalla,20-25 min,Muy Fácil,Podés sumar aceite de oliva al final para más sabor.
Cena,Arroz integral con verduras frescas,"Arroz integral, verduras variadas.",1. Hervir el arroz integral hasta lograr una textura tierna. 2. Cortar las verduras en tiras o cubos pequeños. 3. Mezclar el arroz con las verduras crudas o previamente cocidas. 4. Servir tibio o frío.,Hornalla,20-25 min,Muy Fácil,Usar el arroz frío mejora la textura y lo vuelve ideal para ensaladas.
Cena,Arroz salteado con verduras,"Arroz integral, verduras varias, huevo.",1. Cocinar el arroz integral hasta que quede tierno. 2. Cortar las verduras en cubos pequeños y saltearlas en sartén caliente. 3. Incorporar el huevo y revolver hasta cocinarlo suavemente. 4. Agregar el arroz cocido y mezclar bien hasta integrar sabores. 5. Servir caliente.,Sartén,15-20 min,Fácil,Cocinar a fuego medio ayuda a que quede húmedo y sabroso.
Cena,Atún con arroz y tomate,"1 lata de atún, ½ taza de arroz cocido, 1 tomate en cubos, oliva.",1. Cocinar el arroz y dejarlo entibiar. 2. Colocarlo en un bowl junto con el atún escurrido y el tomate en cubos. 3. Agregar un hilo de aceite de oliva y condimentos a gusto. 4. Mezclar suavemente y servir.,Hornalla,20-25 min,Muy Fácil,Podés sumarle limón al final para darle frescura.
Cena,Atún con ensalada de arroz,"1 taza de arroz cocido, 1 lata de atún, morrón, huevo duro, zanahoria.","1. Cocinar el arroz y dejar enfriar. 2. Colocar en un bowl junto con el atún escurrido. 3. Agregar el morrón picado, el huevo duro en trozos y la zanahoria rallada. 4. Condimentar a gusto y mezclar bien. 5. Servir fría o tibia.",Hornalla,20-25 min,Muy Fácil,Usar arroz frío mejora mucho la textura de la ensalada.
Cena,Base de rellenos,"Cebolla, morrón, ajo, condimentos, huevo, queso.","1. Picar la cebolla, el morrón y el ajo bien pequeño. 2. Saltear todo en sartén con un toque de aceite hasta que quede tierno y perfumado. 3. Retirar del fuego y dejar enfriar unos minutos. 4. Incorporar huevo y queso al momento de usar como relleno.",Sartén,15-20 min,Fácil,Prepará cantidad extra y guardala en heladera para otras comidas.
Cena,Berenjenas rellenas,"Berenjena, verduras, huevo.",1. Cortar las berenjenas al medio y retirar parte de la pulpa. 2. Cocinar la pulpa picada junto con las verduras elegidas. 3. Agregar el huevo para ligar la preparación. 4. Rellenar las mitades de berenjena y acomodarlas en una fuente. 5. Cocinar hasta que estén tiernas y doradas.,Horno,25-30 min,Media,No llenes demasiado la fuente para que circule bien el calor.
Cena,Bocaditos de pollo y verduras,"Pollo picado, zanahoria, zucchini, cebolla, huevo.","1. Mezclar el pollo picado con la zanahoria rallada, zucchini rallado y cebolla picada. 2. Incorporar el huevo y unir bien la mezcla. 3. Formar bocaditos pequeños con cuchara o manos húmedas. 4. Colocar en una fuente aceitada y cocinar hasta dorar.",Horno,15-20 min,Fácil,Podés usar moldes de muffins para que salgan parejos.
Cena,Brochettes de pollo,"Pollo, morrón, cebolla.",1. Cortar el pollo en cubos parejos. 2. Cortar el morrón y la cebolla en trozos medianos. 3. Armar los pinchos intercalando pollo y vegetales. 4. Disponer en una fuente y cocinar hasta dorar bien.,Horno,15-20 min,Fácil,"Si marinás el pollo antes, queda mucho más sabroso."
Cena,Brochettes de verduras,"Verduras varias (morrón, cebolla, zucchini, hongo).",1. Cortar todas las verduras en trozos similares. 2. Armar las brochettes intercalando colores y texturas. 3. Colocar en una fuente apenas aceitada. 4. Cocinar hasta que estén tiernas y doradas en los bordes.,Horno,15-20 min,Muy Fácil,No sobrecargues la fuente para que se doren mejor.
Cena,Budín de pollo y verduras,"Pollo cocido, verduras, huevos, harina integral.",1. Procesar el pollo cocido junto con las verduras hasta obtener una mezcla pareja. 2. Pasar a un bowl e incorporar los huevos y la harina integral. 3. Mezclar bien hasta integrar todo. 4. Volcar en un molde aceitado y alisar la superficie. 5. Cocinar hasta que al insertar un cuchillo salga limpio. 6. Dejar reposar unos minutos antes de cortar.,Horno,30-40 min,Media,Esperar antes de desmoldar ayuda a que mantenga mejor la forma.
Cena,Budín de zanahoria y queso,"Zanahoria rallada, huevos, queso descremado, harina integral.","1. Colocar la zanahoria rallada en un bowl. 2. Agregar los huevos, el queso descremado y la harina integral. 3. Mezclar bien hasta integrar todos los ingredientes. 4. Volcar en un molde de budín previamente aceitado. 5. Cocinar hasta que esté firme y dorado en la superficie.",Horno,25-30 min,Fácil,Dejalo reposar unos minutos antes de cortar para que tome mejor textura.
Cena,Budín salado de verduras,"Verduras ralladas, huevos, harina integral, polvo de hornear.","1. Rallar las verduras elegidas y colocarlas en un bowl. 2. Incorporar los huevos, la harina integral y el polvo de hornear. 3. Mezclar hasta lograr una preparación homogénea. 4. Volcar en un molde aceitado y emparejar la superficie. 5. Cocinar hasta que esté firme y dorado.",Horno,25-30 min,Fácil,Esperá unos minutos antes de desmoldar para que no se rompa.
Cena,Budín salado de verduras clásico,"Verduras ralladas, huevos, harina integral.",1. Colocar las verduras ralladas en un bowl amplio. 2. Agregar los huevos y la harina integral. 3. Mezclar bien hasta integrar. 4. Pasar la mezcla a un molde de budín aceitado. 5. Cocinar hasta que cuaje y la superficie tome color.,Horno,25-30 min,Fácil,Podés sumar especias para darle más sabor.
Cena,Canastitas de atún,"Atún, cebolla, morrón, huevo, tapas de empanadas.",1. Picar la cebolla y el morrón bien pequeños. 2. Saltear hasta que estén tiernos y dejar enfriar. 3. Mezclar con el atún escurrido y el huevo batido. 4. Forrar moldes con las tapas de empanada formando canastitas. 5. Rellenar y cocinar hasta dorar.,Horno,20-25 min,Fácil,No las llenes hasta el borde para evitar que se desborden.
Cena,Canastitas de atún rápidas,"Atún, huevo, verduras picadas, tapas de empanada.",1. Colocar el atún en un bowl junto con las verduras picadas. 2. Agregar el huevo y mezclar bien. 3. Armar las canastitas con las tapas en moldes o placa. 4. Rellenar y cocinar hasta dorar la masa.,Horno,20-25 min,Muy Fácil,Podés pincelar los bordes con huevo para mejor color.
Cena,Canastitas de calabaza y espinaca,"Puré de calabaza, espinaca cocida, queso, tapas.",1. Mezclar el puré de calabaza con la espinaca previamente escurrida. 2. Incorporar el queso y unir bien. 3. Armar las canastitas con las tapas de empanada. 4. Rellenar y llevar al horno hasta dorar.,Horno,20-25 min,Fácil,Escurrí bien la espinaca para evitar exceso de humedad.
Cena,Canastitas de carne,"Carne magra en cubos, base de rellenos.",1. Cortar la carne en cubos pequeños o picarla. 2. Dorarla en sartén caliente hasta sellar bien. 3. Mezclar con la base de rellenos ya preparada. 4. Colocar el relleno sobre las tapas formando canastitas. 5. Cocinar hasta que la masa esté dorada.,Horno,20-25 min,Fácil,"Si usás carne bien picada, el relleno queda más parejo."
Cena,Canastitas de choclo y zanahoria,"Choclo, zanahoria rallada, queso, tapas.",1. Mezclar el choclo con la zanahoria rallada y el queso. 2. Armar las canastitas con tapas de empanada en moldes. 3. Rellenar de manera pareja. 4. Cocinar hasta que la masa esté dorada y el relleno firme.,Horno,20-25 min,Muy Fácil,Una pizca de pimienta realza mucho el sabor.
Cena,Canastitas de espinaca,"Espinaca, tapas de empanadas, queso untable, 1 huevo.",1. Escurrir bien la espinaca cocida y picarla. 2. Mezclar con el queso untable y el huevo. 3. Forrar moldes con las tapas de empanada. 4. Rellenar y cocinar a horno fuerte hasta dorar.,Horno,30 min,Fácil,Escurrir bien la espinaca evita que la masa se humedezca.
Cena,Canastitas de pollo,"Pollo en cubos, queso, base de rellenos.",1. Cortar el pollo en cubos pequeños y dorarlo en sartén caliente. 2. Mezclar con la base de vegetales ya cocida. 3. Incorporar el queso y unir todo. 4. Rellenar las canastitas armadas con tapas de empanada. 5. Cocinar hasta dorar.,Horno,20-25 min,Fácil,Condimentá el pollo antes de cocinarlo para más sabor.
Cena,Canastitas de verduras,"Verduras mixtas, huevo, tapas de empanada.",1. Picar las verduras elegidas y saltearlas hasta que estén tiernas. 2. Dejar entibiar y mezclar con el huevo batido. 3. Forrar moldes con las tapas formando canastitas. 4. Rellenar y cocinar hasta dorar la masa y cuajar el relleno.,Horno,20-25 min,Muy Fácil,No sobrecargues la fuente para que se cocinen parejas.
Cena,Canastitas de verduras clásicas,"Tapas de empanada, verduras, huevo.",1. Cortar los vegetales en cubos pequeños y saltearlos hasta tiernizar. 2. Colocarlos sobre las tapas ya armadas en moldes. 3. Agregar huevo batido para ligar el relleno. 4. Cocinar hasta dorar y servir calientes.,Horno,20-25 min,Muy Fácil,Podés sumar queso rallado para más sabor.
Cena,Canastitas de verduras con ensalada,"Hojas verdes, vegetales salteados, tapas, queso untable, 1 huevo.","1. Saltear morrón, zanahoria y cebolla hasta que estén tiernos. 2. Dejar enfriar y mezclar con el huevo y el queso untable. 3. Armar las canastitas con las tapas en moldes. 4. Rellenar y cocinar hasta dorar. 5. Servir acompañadas con hojas verdes frescas.",Horno,20-25 min,Fácil,"Se disfrutan muy bien tibias, frías o a temperatura ambiente."
Cena,Canelones de verdura,"Panqueques, verduras cocidas, salsa.",1. Rellenar cada panqueque con las verduras cocidas. 2. Enrollar con cuidado y acomodar en una fuente. 3. Cubrir con salsa a elección. 4. Llevar al horno hasta calentar bien y gratinar la superficie.,Horno,20-25 min,Media,Una capa extra de salsa evita que se resequen.
Cena,Canelones de zucchini,"Zucchini, relleno de carne o verduras, queso.","1. Cortar el zucchini en láminas largas y finas con mandolina o pelapapas. 2. Si están firmes, pasarlas un minuto por agua caliente. 3. Colocar relleno en un extremo y enrollar. 4. Acomodar en una fuente. 5. Cubrir con queso y gratinar hasta dorar.",Horno,20-25 min,Media,Intentá que todas las láminas tengan grosor similar.
Cena,Canelones de zucchini livianos,"Zucchini, relleno veggie o carne magra.",1. Cortar el zucchini en láminas largas y finas. 2. Secarlas con papel de cocina. 3. Colocar el relleno elegido en un extremo. 4. Enrollar y disponer en una fuente. 5. Agregar un poco de queso y gratinar hasta dorar.,Horno,20-25 min,Media,Secar bien el zucchini mejora la textura final.
Cena,Carne con ensalada,"1 bife chico, queso, zanahoria, tomate, rúcula, aceite.",1. Cocinar el bife a la plancha o al horno hasta el punto deseado. 2. Cortar el tomate y rallar la zanahoria. 3. Mezclar con la rúcula y el queso en cubos o hebras. 4. Condimentar con aceite. 5. Servir junto a la carne recién hecha.,Plancha,10 min,Muy Fácil,Servir la ensalada fría genera un contraste delicioso.
Cena,Carne magra salteada con vegetales,"150g de carne magra, cebolla, morrón, zanahoria, zucchini.",1. Cortar la carne y los vegetales en tiras finas. 2. Sellar la carne en sartén caliente. 3. Incorporar la cebolla y el morrón. 4. Sumar la zanahoria y el zucchini. 5. Cocinar unos minutos hasta tiernizar y condimentar a gusto.,Sartén,15-20 min,Fácil,"Si usás salsa de soja, agregala al final."
Cena,Cerdo con vegetales,"1 bife de cerdo, vegetales mixtos, 1 cda de aceite.","1. Cocinar el bife de cerdo en plancha caliente hasta dorar ambos lados. 2. Cortar los vegetales en trozos medianos. 3. Cocinarlos al horno, wok o sartén con aceite. 4. Condimentar a gusto y servir junto al cerdo.",Plancha,15 min,Fácil,No pinches la carne para conservar sus jugos.
Cena,Croquetas de pollo y verduras,"Pollo, verduras, leche, almidón, pan rallado.","1. Procesar el pollo junto con las verduras hasta integrar. 2. Cocinar la leche con el almidón revolviendo hasta espesar. 3. Unir ambas preparaciones y mezclar bien. 4. Llevar a la heladera hasta enfriar por completo. 5. Formar croquetas, pasarlas por pan rallado y acomodarlas en una fuente. 6. Cocinar hasta dorar.",Horno,20 min,Difícil,Enfriar bien la mezcla hace toda la diferencia al armarlas.
Cena,Croquetas de verduras,"Verduras cocidas, huevo, pan rallado.",1. Colocar las verduras cocidas en una procesadora o pisarlas bien hasta formar un puré rústico. 2. Agregar el huevo y mezclar hasta integrar. 3. Incorporar pan rallado hasta lograr una textura moldeable. 4. Formar croquetas parejas con las manos. 5. Pasarlas por pan rallado y acomodarlas en una fuente. 6. Cocinar hasta dorar.,Horno,15-20 min,Fácil,"Si la mezcla queda húmeda, sumá más avena o pan rallado."
Cena,Empanadas caprese,"Queso, tomate, albahaca, tapas.",1. Cortar el tomate en cubos pequeños y retirar las semillas. 2. Mezclar con el queso y la albahaca picada. 3. Colocar el relleno sobre cada tapa. 4. Cerrar haciendo un buen repulgue. 5. Cocinar hasta que la masa esté dorada y crocante.,Horno,15-20 min,Fácil,Escurrí bien el tomate para evitar exceso de líquido.
Cena,Empanadas de carne,"Carne picada, cebolla, condimentos, tapas.",1. Picar la cebolla y saltearla hasta que esté tierna. 2. Incorporar la carne picada y cocinar hasta dorar. 3. Condimentar a gusto y dejar enfriar el relleno. 4. Rellenar las tapas y cerrar bien. 5. Cocinar hasta dorar.,Horno,20-25 min,Media,Dejar enfriar el relleno ayuda a que no se humedezca la masa.
Cena,Empanadas de jamón y queso,"Jamón, queso, tapas.",1. Cortar el jamón y el queso en trozos pequeños. 2. Colocar una porción sobre cada tapa. 3. Cerrar presionando bien los bordes. 4. Cocinar hasta que la masa esté dorada y el queso fundido.,Horno,20-25 min,Muy Fácil,No las rellenes de más para que no se abran.
Cena,Empanadas de lentejas,"Lentejas, verduras, tapas de empanada.",1. Cocinar o usar lentejas ya cocidas. 2. Mezclarlas con verduras salteadas y condimentar a gusto. 3. Dejar enfriar el relleno. 4. Rellenar las tapas y cerrar bien. 5. Cocinar hasta dorar.,Horno,20-25 min,Fácil,Podés pisar apenas las lentejas para un relleno más firme.
Cena,Empanadas de verduras,"Verduras salteadas, tapas.",1. Cocinar las verduras elegidas en sartén hasta que estén tiernas. 2. Dejar enfriar unos minutos. 3. Colocar el relleno sobre las tapas. 4. Cerrar bien cada empanada. 5. Cocinar hasta dorar la masa.,Horno,20-25 min a 180°C,Fácil,Escurrí las verduras si largaron líquido para cuidar la masa.
Cena,Ensalada de arroz integral,"Arroz integral, arvejas, zanahoria, tomate, huevo, palta.","1. Cocinar el arroz integral y dejar enfriar. 2. Hervir el huevo aparte y picarlo. 3. Cortar la zanahoria, tomate y palta en cubos. 4. Mezclar todos los ingredientes en un bowl grande. 5. Condimentar justo antes de servir.",Hornalla,25-30 min,Fácil,Ideal para preparar con anticipación y guardar en heladera.
Cena,Ensalada de arroz integral fresca,"Arroz integral, verduras, semillas.",1. Cocinar el arroz integral y dejarlo enfriar por completo. 2. Cortar las verduras frescas elegidas. 3. Mezclar el arroz con las verduras y las semillas. 4. Condimentar a gusto y servir.,Crudo,10 min,Muy Fácil,Usar arroz frío mejora la textura y mantiene los granos sueltos.
Cena,Ensalada de arroz integral (simple),"Arroz integral cocido, verduras, semillas.",1. Colocar el arroz frío en un bowl amplio. 2. Agregar las verduras frescas cortadas pequeñas. 3. Sumar las semillas elegidas. 4. Condimentar con aceite y vinagre o limón. 5. Mezclar suavemente y servir.,Crudo,10 min,Muy Fácil,Agregar pollo o atún la convierte en una comida completa.
Cena,Ensalada de arroz y lentejas,"Arroz cocido, lentejas cocidas, verduras.","1. Colocar el arroz cocido y las lentejas en un bowl. 2. Agregar vegetales frescos picados como morrón, apio o cebolla. 3. Mezclar bien para distribuir todo parejo. 4. Condimentar con aceite, sal y pimienta. 5. Servir fría o tibia.",Crudo,10 min,Muy Fácil,Usar arroz frío mejora la textura final.
Cena,Ensalada de atún y vegetales,"1/2 lata de atún, palmitos, tomate, rúcula, morrón, repollo, zanahoria.","1. Lavar y secar bien todos los vegetales. 2. Cortar el tomate, morrón y palmitos en trozos pequeños. 3. Rallar o cortar fino el repollo y la zanahoria. 4. Colocar todo en un bowl junto con la rúcula. 5. Agregar el atún escurrido y condimentar a gusto.",Crudo,10 min,Muy Fácil,Servila fría; es ideal para llevar al trabajo.
Cena,Ensalada de choclo y tomate,"Choclo, tomate, cebolla.","1. Desgranar el choclo cocido o escurrir si es en lata. 2. Cortar el tomate y la cebolla en cubos pequeños. 3. Mezclar todo en un bowl amplio. 4. Condimentar con aceite, sal y, si querés, limón. 5. Servir fresca.",Crudo,10 min,Muy Fácil,El limón resalta mucho el sabor dulce del choclo.
Cena,Ensalada de col rallada,"Repollo, zanahoria, limón.","1. Cortar o rallar el repollo bien fino. 2. Rallar la zanahoria. 3. Mezclar ambos ingredientes en un bowl grande. 4. Agregar jugo de limón, aceite y sal. 5. Mezclar bien y dejar reposar unos minutos antes de servir.",Crudo,10 min,Muy Fácil,Reposarla unos minutos suaviza el repollo y mejora la textura.
Cena,Ensalada de fideos,"80g de fideos, tomates cherry, albahaca, zanahoria, aceite.",1. Cocinar los fideos hasta que estén al dente y enfriar. 2. Cortar los tomates cherry al medio. 3. Rallar o cortar fina la zanahoria. 4. Mezclar todo con hojas de albahaca fresca. 5. Agregar aceite y condimentar a gusto.,Crudo,10 min,Muy Fácil,Servila fría o a temperatura ambiente.
